Palabra,Frecuencia
1459,1
1217,1
1216,2
2788,1
2303,1
1213,2
2302,1
1455,1
2301,1
1453,1
3872,1
3632,1
3878,2
persona,12
mayor,393
3650,1
3651,1
1231,3
2320,1
1473,1
1471,1
0,2349
1228,1
1,3053
1469,2
11998,1
2,1296
2315,2
2799,1
3,474
1225,2
4,1723
1224,1
1223,1
5,1
6,93
7,537
1221,1
8,9
9,59
802,2
3643,1
804,1
2319,1
806,1
4736,1
3660,1
2331,1
1484,1
1240,3
2570,1
1480,1
1239,1
3416,2
1238,1
2569,1
2327,1
1237,2
2326,1
3414,1
1478,3
1236,2
2325,1
2323,2
1474,3
3652,1
3656,1
4746,1
10875,1
2329,1
a,1328
f,371
h,848
2100,1
1495,2
3430,2
1494,1
1493,1
2580,1
n,1
o,200
1007,2
1249,1
2337,2
2579,1
2578,2
t,240
2577,2
1246,1
2576,1
1245,1
2333,4
1244,1
3422,1
5842,1
5848,2
4771,2
4530,1
1264,3
2353,1
3441,1
1262,6
sticos,15
2108,2
2348,1
1258,4
2346,1
1498,1
1255,1
2101,1
3676,1
836,1
4526,2
6948,1
1275,3
2122,1
2121,2
1274,1
2360,1
1271,1
10623,2
2118,1
1028,1
3448,1
2359,1
3447,2
2116,1
3446,1
841,1
1024,1
601,1
846,1
5866,2
609,2
desconocido,179
4795,2
2133,1
2375,1
2132,2
1285,1
1042,1
1283,1
1282,2
tuvo,47
linea,318
1038,2
1037,1
1278,1
2366,2
3213,1
2124,1
deudor,1219
4788,2
618,2
6967,2
7814,1
4308,1
6742,1
1055,2
1297,1
1295,3
1053,1
2384,2
2142,1
2141,2
1050,1
1291,2
3229,1
860,2
1049,1
1048,1
2136,1
1289,1
1047,1
1288,2
2134,2
11938,1
1287,3
866,2
4796,2
625,2
626,1
7824,1
629,1
calificado,25
3244,2
2397,1
3001,1
3485,1
2394,2
2150,1
2390,1
2149,1
2389,1
874,1
2146,1
3235,1
1299,1
3234,1
1056,1
2145,1
639,1
15945,1
divisas,129
4583,1
11590,1
6761,2
5433,1
12680,1
1076,2
3496,1
882,1
640,1
3249,1
884,1
1068,1
3488,1
886,1
888,1
4576,1
6999,1
12204,1
409,2
6758,1
4591,1
4351,1
4110,1
4594,1
11560,1
4113,1
3021,2
2171,3
1082,2
11328,1
894,1
652,1
3017,2
654,1
3016,1
2169,1
3499,1
7855,1
10477,1
6527,1
8947,1
1098,1
3275,1
2186,1
3031,1
1092,2
2181,1
660,1
662,1
3029,1
666,2
426,2
7865,1
428,1
13756,1
7629,2
4370,1
7882,1
6313,1
2197,1
672,2
674,1
433,2
6304,2
6560,1
tica,371
5234,1
3051,1
4380,1
682,2
683,1
684,1
685,1
3049,1
8978,1
448,1
6314,1
10222,1
4139,1
7408,1
7409,1
3060,1
4151,2
6331,1
5000,401
4153,1
5003,1
691,1
3062,1
454,1
tarjetas,1
697,1
3059,2
458,2
6568,2
11760,1
12612,1
7418,2
5493,1
4165,1
7432,1
raices,359
3079,1
3077,2
empresario,166
3074,2
3069,1
6579,1
5248,1
6350,1
6110,2
7685,1
4169,1
7678,1
9857,1
expiraci,1
3092,1
6361,1
residencia,1
15672,1
1908,1
nueva_cuenta,1
484,1
12169,2
1905,1
1901,2
9629,1
5045,1
1919,3
limite,500
mejoras,26
250,1
14555,1
1913,2
14318,1
7472,1
6143,1
7476,1
11054,1
6148,1
5293,1
dependiente,756
7228,2
8318,1
duracion,1
1928,1
12389,1
1927,1
15653,1
1925,2
1924,3
1922,1
7485,1
limite_credito,1
8335,1
276,2
7238,1
1938,1
1936,1
1935,3
1934,1
7253,1
9436,2
14782,1
8588,1
negocio,118
1943,1
1941,1
1940,2
8358,1
casado,113
5084,1
1953,1
1950,1
casada,371
12579,1
1957,1
1715,1
5096,1
6187,2
1965,1
2812,1
1963,2
1721,1
3905,1
1961,2
15857,1
1967,1
6199,1
8133,2
creditos_otro,1
3913,2
3914,1
3915,1
2820,1
14179,1
2828,1
1979,1
2825,1
1736,1
1977,1
7297,1
divorciadas,371
7057,2
8386,1
1503,2
1987,1
1501,1
1743,2
1984,2
2831,1
1740,1
1980,1
1505,1
1747,1
2835,1
2603,1
1514,1
1755,2
1512,1
1995,1
2600,1
3939,1
1750,1
3931,1
2606,1
2848,1
1516,1
1525,1
2613,2
1766,1
3949,1
2611,1
1521,1
1520,2
2859,1
propiedades,1
1526,2
1768,2
1778,1
2625,1
1534,1
3959,2
2622,2
1533,3
2864,1
1532,1
2862,1
1530,1
ninguno,1173
2629,1
3711,1
1538,1
1537,2
9034,1
9277,1
9271,1
1546,2
4817,1
1544,2
1543,2
1301,1
1542,1
2631,2
1300,1
2872,2
4811,2
1309,1
3965,1
1308,1
1549,1
3966,1
estadocivil,1
2892,1
9283,1
2647,2
3979,1
1316,1
2404,2
1313,1
1797,1
1555,1
1554,1
1311,1
1553,2
1795,1
1552,1
3972,2
3973,1
3976,1
1318,2
2406,2
1559,1
3990,1
1330,1
1572,1
cnico,240
9055,1
1569,1
2415,2
1568,2
3749,1
2899,1
1567,2
1323,1
2896,1
1322,1
900,1
902,1
3509,1
2659,1
907,1
909,2
1582,2
2671,1
del,26
2670,1
1338,1
2427,1
1337,1
2424,2
1577,2
3512,2
1333,1
1574,2
2662,2
1331,1
4843,1
telefono,1
4844,1
915,1
nrousuarios,1
3757,1
3518,1
4605,1
3758,1
918,1
1352,2
1592,1
1591,1
1107,1
3527,1
2679,1
1347,1
1346,2
1103,1
1345,1
1344,2
2675,1
1585,1
1101,1
1343,1
viles,403
3763,1
4611,1
5943,1
926,1
1108,1
2439,1
929,1
3780,1
4870,1
2210,1
1361,1
1360,2
1358,1
3535,1
2445,2
2687,1
1597,2
1113,1
1355,1
930,1
1595,2
2684,2
931,1
2442,1
5951,1
932,4
5711,1
5954,3
4623,1
3777,2
936,2
937,1
939,1
nunca,47
1374,3
3552,1
2463,1
2221,1
2462,1
1131,1
1372,1
1371,1
co,1219
cr,689
1126,2
2214,1
2697,2
1366,1
2212,1
1123,1
1364,3
700,1
701,3
5965,2
947,1
707,2
708,1
709,3
de,677
2473,1
1382,3
1381,1
1138,1
2225,1
950,1
1136,1
3556,1
951,1
1377,1
1376,1
2223,1
958,1
717,3
959,1
10974,1
719,1
1154,3
en,643
3573,1
3331,1
2241,3
2483,1
1393,4
1391,2
2238,1
1149,1
monto,1
960,1
3568,1
3566,2
1388,1
2235,1
2476,1
3565,1
1386,2
5742,1
5743,1
apartamentos,278
6836,1
4657,2
727,2
5507,1
6850,1
2012,2
3343,1
1164,2
3342,2
1163,1
2251,2
2249,2
1158,2
730,2
3578,2
2247,1
2246,1
731,1
3577,1
975,1
1155,1
2002,1
5511,1
976,2
sin,818
6842,1
5998,1
muebles,219
5771,1
1175,2
2022,1
3595,1
3594,1
3590,2
10722,2
3108,1
3349,2
1169,2
983,1
3105,1
741,1
11816,1
1168,2
3104,2
3345,1
2255,1
4675,2
745,1
6614,1
10961,1
4679,1
6615,1
4439,1
6872,1
4210,1
7721,2
4454,1
3123,1
1185,2
2032,1
2273,1
2030,2
750,1
autom,403
2028,2
3599,1
3357,1
753,1
754,1
3114,1
996,1
4686,1
999,2
759,1
518,1
1190,1
4463,1
4221,1
1198,1
contrato,126
2284,1
edad,1
1193,1
760,1
2039,2
763,2
3368,2
2279,1
522,1
curso,643
2278,1
766,1
3124,1
1188,1
4455,1
5302,2
10144,2
7966,1
7980,1
4473,1
refinanciamiento,102
stamo,54
3386,1
3384,1
tasa,1
2051,1
2292,1
3380,1
3378,2
776,1
1199,2
2288,2
6887,1
6403,1
culo,277
4241,1
propietario,1919
7511,1
3398,1
2064,1
3394,1
2063,1
781,2
783,2
3149,2
3148,1
2058,1
2299,2
5324,1
6416,1
10366,1
10127,1
6419,2
7763,1
plazo,54
5103,1
2073,2
bancario,171
790,1
3161,1
radio,352
3160,1
795,1
797,1
2069,2
3399,1
7758,2
4006,1
4249,1
hogar,26
entre,323
6681,1
2080,1
4020,2
5595,1
8858,1
8613,2
3181,2
9960,1
no,521
4272,2
3186,1
2096,1
571,2
338,2
6204,2
339,2
5117,2
12976,1
5371,2
3190,1
4042,2
os,948
6224,1
3195,1
4280,1
dito,318
4281,1
12749,1
343,1
585,1
alquiler,214
6458,1
5129,1
7308,2
pr,54
4297,1
4057,1
590,1
5381,1
8648,1
6468,2
6229,1
10,40
11,14
deuda,48
12,231
5152,1
13,4
14,5
15,75
16,3
18,132
19,2
362,1
5150,1
368,1
20,26
21,49
22,34
23,56
7582,2
24,267
25,48
26,64
27,81
28,51
29,43
si,723
30,99
divorciado,60
31,47
32,41
33,40
34,36
35,52
7596,1
36,148
37,32
38,30
39,34
5179,1
6260,2
385,1
1800,1
1808,1
1804,2
40,27
41,20
42,39
43,19
44,22
45,23
tv,352
46,22
47,22
48,72
49,18
7127,1
lida,71
392,2
estudios,56
electrodom,15
1819,1
10297,1
14896,1
razonprestamo,1
1817,1
50,15
7119,1
51,14
52,13
53,8
54,16
2901,1
55,10
7374,1
56,5
57,12
58,6
59,3
6289,1
6288,1
5190,2
pagos,643
2910,1
1820,1
1829,1
60,20
14421,1
61,9
62,2
63,10
64,6
65,6
1823,1
empleo,1
66,6
67,3
68,4
9566,2
8471,1
otro,15
70,2
72,1
8229,1
1837,1
74,4
1835,1
75,2
2924,1
2923,1
8487,2
bienes,359
9572,1
7393,1
1602,1
1842,1
2930,1
1603,2
1845,2
vivienda,1
soltero,675
6078,2
7166,1
6070,1
1851,1
2708,2
1858,1
18424,1
7174,1
3804,1
2712,1
1864,1
1620,1
1860,2
2718,1
2957,1
1867,1
1880,1
2964,1
1872,1
2728,2
2969,1
3812,2
hasta,200
suscrito,1
1403,2
1887,1
1402,2
1884,1
1882,1
1881,2
1409,3
2978,4
1647,1
2991,1
1657,2
2746,1
1898,2
1414,2
2745,2
2503,1
1413,3
1655,1
1412,2
2743,1
1410,3
1893,1
veh,277
3832,3
2507,2
1418,1
2748,2
1659,1
3835,2
9157,1
9398,1
2760,2
1670,1
8065,1
2515,2
1424,3
2996,1
2753,1
2511,1
1422,1
2751,1
2993,1
14027,1
3609,1
3844,1
4933,1
2759,1
8072,2
1680,2
1437,1
2767,1
3612,1
2522,2
2764,1
1433,1
2762,1
2520,1
cuenta,371
3850,1
3617,3
2528,1
3857,1
2782,1
8086,1
inv,71
2779,1
4716,1
1206,1
1204,2
1445,2
1203,1
3622,1
2775,1
1444,1
1201,1
3621,1
1200,2
3620,1
1442,2
3863,1
5800,1
5801,1
4712,1
1209,1
1449,3
3868,2
1207,1
5804,1
2538,1
